sample_id,storage_day,freshness_state,position,collection_started_at,collection_ended_at,valid_frames,distance_mean_mm,ambient_clear_mean,lit_clear_mean,Clear_mean,F1_415nm_mean,F1_415nm_clear_norm,F2_445nm_mean,F2_445nm_clear_norm,F3_480nm_mean,F3_480nm_clear_norm,F4_515nm_mean,F4_515nm_clear_norm,F5_555nm_mean,F5_555nm_clear_norm,F6_590nm_mean,F6_590nm_clear_norm,F7_630nm_mean,F7_630nm_clear_norm,F8_680nm_mean,F8_680nm_clear_norm,NIR_mean,NIR_clear_norm
NECT01,0,fresh,1,2026-07-18T12:29:26.243000,2026-07-18T12:29:38.089000,20,16.8,131.15,1609.8947368421052,1477.75,65.35,0.04422263576383014,186.3,0.12607003891050583,283.95,0.19215022838775164,400.15,0.2707832854001015,541.8,0.36663847064794447,843.8,0.5710032143461343,1155.95,0.7822365082050414,997.0,0.6746743359837591,118.35,0.08008797157841313
NECT01,0,fresh,2,2026-07-18T12:29:53.646000,2026-07-18T12:30:06.505000,20,19.05,183.85,1310.2,1126.35,38.7,0.034358769476628054,107.45,0.0953966351489324,178.2,0.15821014782261286,261.05,0.23176632485461893,343.5,0.30496737248634975,511.05,0.45372220002663477,679.2,0.6030097216673326,544.15,0.4831091578994096,86.1,0.07644160340924225
NECT01,0,fresh,3,2026-07-18T14:57:16.215000,2026-07-18T14:57:26.380000,20,19.3,74.45,813.95,739.5,22.25,0.03008789722785666,61.0,0.08248816768086545,92.0,0.12440838404327248,130.0,0.1757944557133198,187.75,0.25388776200135227,299.1,0.40446247464503043,424.2,0.573630831643002,334.2,0.45192697768762674,57.0,0.07707910750507099
NECT01,0,fresh,4,2026-07-18T12:31:14.537000,2026-07-18T12:31:25.790000,20,17.35,174.15,1319.8,1145.65,39.4,0.034390957098590316,117.15,0.10225636101776284,200.85,0.17531532317898135,323.5,0.28237245231964386,403.8,0.35246366691397896,538.5,0.47003884257844886,687.8,0.6003578754418888,517.0,0.45127220355256836,83.7,0.07305896216121852
NECT01,1,fresh,1,2026-07-19T20:45:03.948000,2026-07-19T20:45:14.647000,20,18.85,66.0,1031.3,965.3,31.9,0.033046721226561694,86.0,0.08909147415311303,139.9,0.14492903760488968,218.8,0.22666528540350153,298.0,0.30871231741427535,427.35,0.4427121102248006,592.85,0.6141614006008496,471.75,0.48870817362477986,72.1,0.07469180565627266
NECT01,1,fresh,2,2026-07-19T20:45:29.624000,2026-07-19T20:45:39.789000,20,19.3,72.0,980.45,908.45,26.95,0.029665914469701137,71.0,0.07815509934503825,119.65,0.13170785403709614,194.7,0.21432109637294292,261.75,0.28812813033188395,377.2,0.4152127249711046,514.15,0.5659640046232594,397.0,0.43700809070394625,69.05,0.07600858605316747
NECT01,1,fresh,3,2026-07-19T20:45:54.235000,2026-07-19T20:46:05.470000,20,17.55,70.0,1081.95,1011.95,32.0,0.031622115717179704,84.2,0.0832056919808291,136.0,0.13439399179801373,213.0,0.21048470774247738,298.95,0.29541973417658973,441.35,0.43613814911803944,595.95,0.5889124956766639,451.85,0.446514155837739,77.0,0.07609071594446365
NECT01,1,fresh,4,2026-07-19T20:47:24.657000,2026-07-19T20:47:35.361000,20,19.45,58.0,1160.95,1102.95,41.9,0.03798902942109796,111.0,0.10063919488644091,172.05,0.1559907520739834,251.35,0.2278888435559182,355.65,0.32245342037263697,587.25,0.5324357405140758,822.5,0.7457273675143932,655.9,0.5946779092433927,84.2,0.07634072260755247
NECT01,2,fresh,1,2026-07-20T20:17:14.661000,2026-07-20T20:17:26.431000,20,21.75,71.85,1058.65,986.8,31.75,0.03217470612079449,81.0,0.08208350222942846,128.0,0.12971220105391165,208.1,0.21088366436967979,301.75,0.3057863802188894,449.9,0.4559181191730847,615.75,0.6239866234292664,480.65,0.4870794487231455,74.5,0.0754965545196595
NECT01,2,fresh,2,2026-07-20T20:17:43.022000,2026-07-20T20:17:53.739000,20,21.25,57.25,1781.75,1724.5,70.9,0.04111336619309945,173.0,0.10031893302406494,281.0,0.16294578138590896,488.95,0.28353145839373733,668.55,0.3876775877065816,963.95,0.5589736155407364,1296.65,0.7518991011887504,1092.35,0.6334299797042621,134.0,0.07770368222673239
